名次,馬號,馬名,騎師,練馬師,排位體重,實際負磅,檔位,頭馬距離,沿途走位,完成時間,獨嬴賠率,horse_info_url,日期,場次,horse_id
1,10,飛騰騅 ,何澤堯,方嘉柏,1091,124.0,4,-,3 3 3 1,1:39.35,4.2,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2020_E494,20/04/2024,1,E494
2,13,鷹勇猴王 ,鍾易禮,告東尼,1150,110.0,7,2-1/2,2 2 2 2,1:39.75,12.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G415,20/04/2024,1,G415
3,7,亞洲力量 ,布文,黎昭昇,1107,128.0,2,3-3/4,6 6 5 3,1:39.96,6.1,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2020_E400,20/04/2024,1,E400
 4,14,綠登 ,楊明綸,蘇偉賢,1119,115.0,1,5-1/4,9 8 7 4,1:40.18,18.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2020_E409,20/04/2024,1,E409
5,6,美滿星雲 ,蔡明紹,伍鵬志,1121,129.0,13,5-1/4,1 2 1 2 1 2 5,1:40.18,11.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G279,20/04/2024,1,G279
6,9,領航傳祺 ,潘明輝,鄭俊偉,1171,122.0,10,7,1 1 1 1 1 3 6,1:40.47,27.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G126,20/04/2024,1,G126
7,8,着着領先 ,黃智弘,葉楚航,1101,118.0,14,8,8 9 9 7,1:40.61,9.9,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G304,20/04/2024,1,G304
8,1,魅力一心 ,潘頓,蔡約翰,1178,135.0,3,8,1 0 1 0 8 8,1:40.64,5.6,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H195,20/04/2024,1,H195
9,12,東風壹號 ,希威森,廖康銘,1217,120.0,12,8-1/2,4 4 4 9,1:40.72,36.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G042,20/04/2024,1,G042
10,4,型到爆 ,田泰安,羅富全,1053,134.0,6,12-3/4,7 7 6 1 0,1:41.41,8.1,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_H011,20/04/2024,1,H011
11,5,中華叻叻 ,艾道拿,徐雨石,1063,132.0,8,13-3/4,1 4 1 4 1 4 1 1,1:41.53,38.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G054,20/04/2024,1,G054
12,11,麒麟 ,梁家俊,大衛希斯,1148,122.0,11,14-1/2,1 3 1 3 1 1 1 2,1:41.67,14.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2020_E151,20/04/2024,1,E151
13,3,夏日傾情 ,湯普新,沈集成,1070,135.0,9,17-3/4,1 1 1 1 3,1:42.19,58.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2023_J048,20/04/2024,1,J048
14,2,機械鬥士 ,董明朗,文家良,1115,135.0,5,25-1/2,5 5 1 0 1 4,1:43.42,92.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H309,20/04/2024,1,H309
1,6,萬事快 ,希威森,姚本輝,1170,127.0,11,-,5 2 1,0:55.91,7.7,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G416,20/04/2024,4,G416
2,5,紅逸舍 ,蔡明紹,韋達,1134,130.0,8,3/4,3 4 2,0:56.04,6.6,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H241,20/04/2024,4,H241
3,1,還看今朝 ,布文,賀賢,1157,134.0,4,2-1/4,1 2 1 2 3,0:56.26,4.5,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_H009,20/04/2024,4,H009
4,3,飲杯 ,潘頓,大衛希斯,1199,132.0,3,2-3/4,9 1 1 4,0:56.33,4.5,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2023_J219,20/04/2024,4,J219
5,2,令才 ,黃智弘,葉楚航,1055,123.0,14,3-1/4,1 1 5,0:56.41,11.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2019_D350,20/04/2024,4,D350
6,13,勝利之皇 ,田泰安,蘇偉賢,1141,121.0,2,3-1/4,1 3 1 4 6,0:56.43,8.8,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2020_E457,20/04/2024,4,E457
7,7,時時如意 ,霍宏聲,巫偉傑,1056,126.0,7,3-1/2,7 9 7,0:56.47,83.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2023_J204,20/04/2024,4,J204
8,8,快樂老撾 ,何澤堯,呂健威,1205,126.0,6,3-3/4,1 4 1 0 8,0:56.50,30.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2023_J115,20/04/2024,4,J115
9,9,旋風飛颺 ,艾道拿,蔡約翰,1007,124.0,9,5,1 1 1 3 9,0:56.72,8.3,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2023_J086,20/04/2024,4,J086
10,14,歡笑福星 ,巴度,方嘉柏,1086,120.0,13,5-1/4,4 3 1 0,0:56.73,136.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H428,20/04/2024,4,H428
11,10,良駒好友 ,班德禮,文家良,1166,124.0,5,5-1/4,8 6 1 1,0:56.76,103.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H454,20/04/2024,4,H454
12,11,勁力十足 ,楊明綸,鄭俊偉,1246,123.0,1,6,1 0 8 1 2,0:56.85,102.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2019_D362,20/04/2024,4,D362
13,12,五福星 ,梁家俊,羅富全,1101,122.0,12,8-3/4,6 7 1 3,0:57.32,16.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2023_J099,20/04/2024,4,J099
14,4,一代宗師 ,鍾易禮,徐雨石,1112,126.0,10,10-1/2,2 5 1 4,0:57.60,25.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H457,20/04/2024,4,H457
1,10,佳福駒 ,田泰安,巫偉傑,1226,122.0,11,-,9 8 9 1,1:35.78,11.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G230,20/04/2024,7,G230
2,11,春風萬里 ,何澤堯,方嘉柏,979,122.0,12,頭位,1 0 9 8 2,1:35.81,8.7,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H383,20/04/2024,7,H383
3,12,你知我得 ,梁家俊,姚本輝,1141,121.0,8,1/2,4 4 3 3,1:35.86,8.8,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H278,20/04/2024,7,H278
 4,8,平海之星 ,巴度,蔡約翰,1150,123.0,6,3/4,3 3 4 4,1:35.92,42.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H344,20/04/2024,7,H344
5,5,勤德威力 ,潘頓,賀賢,1099,129.0,3,1,6 7 7 5,1:35.94,2.7,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G412,20/04/2024,7,G412
6,1,哈哈大笑 ,布文,文家良,1200,133.0,13,1,1 2 1 1 1 1 6,1:35.95,10.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G406,20/04/2024,7,G406
7,7,神駒馬靈 ,班德禮,伍鵬志,1093,124.0,10,2-1/2,5 5 5 7,1:36.17,11.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2023_J162,20/04/2024,7,J162
8,4,今朝更好 ,霍宏聲,廖康銘,1086,129.0,4,3,8 1 0 1 0 8,1:36.26,7.4,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H361,20/04/2024,7,H361
9,13,盛世名駒 ,鍾易禮,葉楚航,1133,116.0,7,4-3/4,1 1 1 9,1:36.55,21.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H048,20/04/2024,7,H048
10,9,常拼常德 ,賀銘年,黎昭昇,1254,122.0,1,5,7 6 6 1 0,1:36.59,117.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2023_J013,20/04/2024,7,J013
11,3,鹿鼎記 ,周俊樂,蘇偉賢,1043,130.0,5,5-1/4,1 1 1 2 1 2 1 1,1:36.60,11.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2020_E245,20/04/2024,7,E245
12,14,年年友福 ,湯普新,鄭俊偉,1182,120.0,2,5-3/4,1 3 1 3 1 3 1 2,1:36.69,24.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G463,20/04/2024,7,G463
13,6,太陽之子 ,楊明綸,大衛希斯,1116,124.0,9,7-1/4,2 2 2 1 3,1:36.94,102.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H342,20/04/2024,7,H342
,2,加州動員 ,艾道拿,告東尼,---,132.0,---,---,,---,---,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H418,20/04/2024,7,H418
1,12,新力好 ,董明朗,蘇偉賢,1163,123.0,6,-,1 1 1 1,1:21.56,6.3,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2023_J118,20/04/2024,2,J118
2,2,陸知 ,何澤堯,黎昭昇,1200,132.0,7,3,1 0 7 5 2,1:22.03,6.8,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G120,20/04/2024,2,G120
 3,5,無敵勇士 ,蔡明紹,文家良,1267,127.0,2,3-1/4,2 2 2 3,1:22.08,4.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2018_C483,20/04/2024,2,C483
4,6,天天得樂 ,鍾易禮,葉楚航,1072,121.0,13,3-1/2,3 3 3 4,1:22.11,9.9,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2020_E294,20/04/2024,2,E294
5,8,勁好運 ,梁家俊,羅富全,1100,125.0,5,4,1 2 1 0 8 5,1:22.20,28.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H481,20/04/2024,2,H481
6,10,旺旺快駒 ,潘頓,廖康銘,1056,124.0,4,4,7 6 6 6,1:22.21,3.5,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2023_J119,20/04/2024,2,J119
7,13,星火燎原 ,希威森,徐雨石,1162,123.0,1,4-3/4,5 5 4 7,1:22.32,77.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2023_J150,20/04/2024,2,J150
8,4,糖不甩 ,楊明綸,巫偉傑,1147,128.0,14,5-3/4,1 4 1 1 1 2 8,1:22.50,62.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H394,20/04/2024,2,H394
9,11,連捷 ,田泰安,韋達,1127,123.0,8,6-1/4,1 3 1 2 1 1 9,1:22.55,21.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2023_J177,20/04/2024,2,J177
10,14,龍城金將 ,周俊樂,容天鵬,1171,120.0,10,7-1/4,6 1 3 1 4 1 0,1:22.73,21.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H413,20/04/2024,2,H413
11,1,機械大師 ,湯普新,伍鵬志,1135,132.0,11,7-3/4,1 1 9 9 1 1,1:22.82,67.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2023_J107,20/04/2024,2,J107
12,7,江南勇士 ,潘明輝,呂健威,1101,123.0,12,8-1/4,8 1 4 1 3 1 2,1:22.87,31.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H472,20/04/2024,2,H472
13,3,志勝時機 ,艾道拿,蔡約翰,1081,131.0,9,9-3/4,9 8 1 0 1 3,1:23.13,19.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2020_E444,20/04/2024,2,E444
14,9,自由奔騰 ,班德禮,姚本輝,1055,125.0,3,10-1/2,4 4 7 1 4,1:23.23,58.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2023_J163,20/04/2024,2,J163
1,14,仁心星 ,楊明綸,方嘉柏,1178,117.0,11,-,1 1 1 1,1:22.18,12.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2023_J092,20/04/2024,1,J092
2,1,潮州精神 ,巴度,文家良,1198,135.0,9,1-1/4,6 7 5 2,1:22.39,29.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H175,20/04/2024,1,H175
3,3,手機錶霸 ,布文,呂健威,1182,127.0,5,2,8 8 9 3,1:22.51,1.9,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H485,20/04/2024,1,H485
 4,10,紫荊歡呼 ,班德禮,大衛希斯,1198,120.0,1,2-1/4,4 4 4 4,1:22.55,24.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2023_J139,20/04/2024,1,J139
5,6,君達得 ,潘明輝,丁冠豪,1075,119.0,12,2-1/4,2 2 2 5,1:22.56,30.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H392,20/04/2024,1,H392
6,4,鐵金剛 ,潘頓,蔡約翰,1142,123.0,3,2-1/2,1 2 1 2 1 1 6,1:22.58,3.7,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H433,20/04/2024,1,H433
7,11,特別美麗 ,田泰安,羅富全,1183,119.0,14,2-3/4,1 4 1 4 1 4 7,1:22.63,13.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H123,20/04/2024,1,H123
8,13,威之星 ,董明朗,賀賢,1146,118.0,4,3-1/4,1 3 1 3 1 0 8,1:22.70,23.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2020_E132,20/04/2024,1,E132
9,12,衝上雲霄 ,希威森,蘇偉賢,1170,119.0,2,5-3/4,1 0 9 8 9,1:23.12,51.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2023_J173,20/04/2024,1,J173
10,2,時尚歡欣 ,周俊樂,容天鵬,1142,125.0,10,6-1/2,9 1 1 1 2 1 0,1:23.21,18.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H041,20/04/2024,1,H041
11,9,君智盛 ,賀銘年,姚本輝,1143,120.0,6,7-3/4,5 6 6 1 1,1:23.42,91.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2023_J213,20/04/2024,1,J213
12,8,好好紛 ,梁家俊,沈集成,1168,121.0,8,10-1/2,3 3 3 1 2,1:23.86,217.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2023_J214,20/04/2024,1,J214
13,5,爆笑 ,艾道拿,告東尼,1063,122.0,7,12-1/2,1 1 1 0 1 3 1 3,1:24.19,54.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2023_J079,20/04/2024,1,J079
14,7,英雄本色 ,鍾易禮,伍鵬志,1062,115.0,13,12-1/2,7 5 7 1 4,1:24.20,78.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2023_J112,20/04/2024,1,J112
 1,4,昇瀧駒 ,田泰安,廖康銘,1191,129.0,3,-,2 2 1,1:08.58,2.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2023_J141,20/04/2024,3,J141
2,9,花果猴王 ,鍾易禮,告東尼,1132,110.0,2,短馬頭位,7 3 2,1:08.59,9.5,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H455,20/04/2024,3,H455
3,8,福國寶 ,巴度,賀賢,1202,116.0,1,1-1/4,1 1 3,1:08.78,56.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G315,20/04/2024,3,G315
4,5,凱旋時光 ,潘頓,羅富全,1138,127.0,7,2-1/4,5 5 4,1:08.92,2.5,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H142,20/04/2024,3,H142
5,2,明心知遇 ,布文,蔡約翰,1113,135.0,8,3,9 9 5,1:09.04,16.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H256,20/04/2024,3,H256
6,3,怡勁力 ,黃智弘,黎昭昇,1205,122.0,4,3,4 4 6,1:09.05,14.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H141,20/04/2024,3,H141
7,7,閃電 ,湯普新,沈集成,1160,117.0,9,4-1/2,6 7 7,1:09.28,43.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G130,20/04/2024,3,G130
8,1,好好心得 ,潘明輝,伍鵬志,1108,133.0,5,7,8 8 8,1:09.69,60.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2019_D433,20/04/2024,3,D433
9,6,時時滿意 ,蔡明紹,告東尼,1167,118.0,6,12-1/2,3 6 9,1:10.59,25.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G235,20/04/2024,3,G235
1,7,常拼常勇 ,巴度,姚本輝,1123,122.0,3,-,6 6 5 5 1,1:47.84,7.7,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2020_E306,20/04/2024,9,E306
 2,8,自然力量 ,賀銘年,姚本輝,1128,121.0,1,1-1/2,9 9 9 7 2,1:48.09,25.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2018_C461,20/04/2024,9,C461
 3,2,九五赤兔 ,希威森,韋達,1139,134.0,8,1-3/4,1 2 2 1 3,1:48.11,11.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H257,20/04/2024,9,H257
4,6,超超比 ,周俊樂,沈集成,1117,122.0,5,1-3/4,8 8 7 9 4,1:48.13,3.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H109,20/04/2024,9,H109
5,12,勁速威龍 ,何澤堯,呂健威,1150,120.0,9,2-1/4,1 0 1 0 1 0 1 0 5,1:48.19,7.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H380,20/04/2024,9,H380
6,5,桃花雲 ,田泰安,告東尼,1047,129.0,2,2-1/4,7 7 8 8 6,1:48.21,7.4,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H139,20/04/2024,9,H139
7,10,敏捷神駒 ,班德禮,黎昭昇,1088,120.0,7,2-3/4,5 5 6 6 7,1:48.30,45.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H210,20/04/2024,9,H210
8,13,都靈福星 ,潘明輝,伍鵬志,1116,114.0,12,3,1 3 1 3 1 3 1 2 8,1:48.33,24.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H165,20/04/2024,9,H165
9,11,包裝旋風 ,楊明綸,方嘉柏,989,118.0,4,3-1/4,4 4 3 4 9,1:48.35,17.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H137,20/04/2024,9,H137
10,3,健康快駒 ,湯普新,大衛希斯,977,133.0,13,5-1/4,1 2 1 1 1 1 1 1 1 0,1:48.67,49.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G010,20/04/2024,9,G010
11,9,魅力知遇 ,潘頓,蔡約翰,1206,121.0,10,5-3/4,2 3 4 3 1 1,1:48.77,8.9,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G426,20/04/2024,9,G426
12,4,當年情 ,布文,告東尼,1008,130.0,6,6-1/2,1 1 1 2 1 2 1 3 1 2,1:48.88,14.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G371,20/04/2024,9,G371
13,1,保羅承傳 ,鍾易禮,羅富全,1102,130.0,11,10-1/2,3 1 1 2 1 3,1:49.53,40.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2018_C517,20/04/2024,9,C517
1,4,實力派 ,巴度,賀賢,1043,126.0,10,-,9 6 1,1:09.22,12.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2020_E447,20/04/2024,8,E447
2,6,愛馬善 ,田泰安,鄭俊偉,1126,124.0,6,頸位,3 1 2,1:09.26,10.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H155,20/04/2024,8,H155
3,1,樂滿貫 ,鍾易禮,告東尼,1154,130.0,11,1/2,5 5 3,1:09.30,10.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2019_D476,20/04/2024,8,D476
 4,7,龍之輝 ,希威森,呂健威,1225,121.0,7,1-1/4,2 2 4,1:09.44,1.4,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H410,20/04/2024,8,H410
5,2,競駿飛翔 ,潘頓,黎昭昇,1135,134.0,5,1-1/2,1 2 1 1 5,1:09.45,9.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2023_J291,20/04/2024,8,J291
6,11,拍馬難追 ,董明朗,蘇偉賢,1147,119.0,8,2,1 0 7 6,1:09.55,33.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2020_E234,20/04/2024,8,E234
7,3,多利彩駒 ,班德禮,廖康銘,1110,127.0,3,4-1/4,6 3 7,1:09.90,30.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2023_J140,20/04/2024,8,J140
8,8,承夆冠駒 ,湯普新,徐雨石,964,121.0,4,6-1/4,8 9 8,1:10.22,164.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H318,20/04/2024,8,H318
9,12,陽光寶貝 ,蔡明紹,伍鵬志,1165,119.0,1,7-3/4,4 4 9,1:10.47,45.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2023_J171,20/04/2024,8,J171
10,9,翩翩君子 ,賀銘年,蔡約翰,1183,120.0,2,12,7 1 0 1 0,1:11.14,66.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G013,20/04/2024,8,G013
11,10,無極勇將 ,巫顯東,姚本輝,1041,117.0,9,12,1 1 1 2 1 1,1:11.15,231.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2023_J169,20/04/2024,8,J169
12,5,最佳連捷 ,周俊樂,沈集成,1237,122.0,12,75-3/4,1 8 1 2,1:21.34,75.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2023_J302,20/04/2024,8,J302
 1,11,八心之威 ,賀銘年,韋達,1141,118.0,11,-,2 1 1,1:08.73,23.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2019_D285,20/04/2024,6,D285
2,8,火神神樂 ,班德禮,黎昭昇,1096,122.0,2,鼻位,5 4 2,1:08.74,4.8,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H384,20/04/2024,6,H384
3,3,大眾勝利 ,希威森,羅富全,1149,128.0,3,2-1/2,8 8 3,1:09.12,20.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2020_E177,20/04/2024,6,E177
4,2,實力哥 ,田泰安,大衛希斯,1158,135.0,6,2-3/4,9 9 4,1:09.18,6.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H228,20/04/2024,6,H228
5,1,德心知遇 ,艾道拿,蔡約翰,1165,135.0,4,3-1/4,6 6 5,1:09.25,4.1,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2023_J133,20/04/2024,6,J133
6,12,中華威威 ,巫顯東,徐雨石,1245,113.0,9,5,1 2 6,1:09.53,62.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2019_D075,20/04/2024,6,D075
7,9,醒目勇駒 ,董明朗,蘇偉賢,1150,118.0,1,5,7 7 7,1:09.54,9.6,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2017_B456,20/04/2024,6,B456
8,6,機械騎士 ,潘頓,容天鵬,1089,126.0,5,6,4 3 8,1:09.69,4.5,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H464,20/04/2024,6,H464
9,5,歡喜福星 ,巴度,方嘉柏,1003,126.0,7,8-1/4,1 0 1 1 9,1:10.03,10.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G354,20/04/2024,6,G354
10,4,勝利神駒 ,黃智弘,葉楚航,1058,117.0,12,8-1/2,3 5 1 0,1:10.10,17.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G401,20/04/2024,6,G401
11,7,辣得金 ,梁家俊,伍鵬志,1048,125.0,8,14-1/4,1 1 1 0 1 1,1:11.03,125.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2023_J087,20/04/2024,6,J087
,10,創奇蹟 ,鍾易禮,文家良,---,112.0,---,---,,---,---,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G083,20/04/2024,6,G083
1,1,加非凡 ,黃智弘,方嘉柏,1079,125.0,3,-,5 5 4 1,1:37.83,4.7,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H147,20/04/2024,5,H147
2,10,活力多多 ,何澤堯,伍鵬志,1244,122.0,4,頸位,1 1 1 1 1 0 2,1:37.89,14.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H022,20/04/2024,5,H022
3,8,快快盈 ,周俊樂,大衛希斯,1053,123.0,1,1/2,8 9 8 3,1:37.92,9.9,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H393,20/04/2024,5,H393
4,12,家樂飛駒 ,巴度,賀賢,1084,121.0,10,3/4,1 4 1 3 1 2 4,1:37.96,45.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2019_D267,20/04/2024,5,D267
