名次,馬號,馬名,騎師,練馬師,排位體重,實際負磅,檔位,頭馬距離,沿途走位,完成時間,獨嬴賠率,horse_info_url,日期,場次,horse_id
6,11,喜愛善 ,嘉里,蘇偉賢,1292,122.0,13,5-1/2,1 1 1 1 1 1 6,1:23.20,19.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2020_E376,05/02/2023,4,E376
7,14,請不要問 ,賀銘年,蔡約翰,1136,119.0,1,5-3/4,4 4 4 7,1:23.22,50.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G441,05/02/2023,4,G441
8,10,得意佳作 ,梁家俊,姚本輝,1063,123.0,7,6-1/4,5 5 6 8,1:23.32,14.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G125,05/02/2023,4,G125
9,12,飛馬好威 ,霍宏聲,賀賢,1065,121.0,12,8-3/4,9 9 1 2 9,1:23.72,113.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G174,05/02/2023,4,G174
10,8,創科盛世 ,巫顯東,容天鵬,1253,123.0,2,8-3/4,1 1 1 1 0,1:23.73,115.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G419,05/02/2023,4,G419
11,7,珍珠哥 ,波健士,葉楚航,1009,127.0,9,13-1/2,1 0 1 0 1 0 1 1,1:24.49,139.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H030,05/02/2023,4,H030
12,5,星際精英 ,周俊樂,容天鵬,1174,131.0,10,14,7 7 9 1 2,1:24.57,13.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2019_D281,05/02/2023,4,D281
WV-A,1,俠客行 ,田泰安,伍鵬志,---,135.0,---,---,,---,---,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H052,05/02/2023,4,H052
WV,3,大千眼界 ,何澤堯,方嘉柏,---,134.0,---,---,,---,---,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G424,05/02/2023,4,G424
1,4,天足貓 ,鍾易禮,伍鵬志,1064,118.0,5,-,1 1 1,1:09.81,6.3,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G166,05/02/2023,5,G166
2,3,加非凡 ,巴度,黎昭昇,1100,128.0,6,頭位,3 3 2,1:09.84,19.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H147,05/02/2023,5,H147
 3,7,日新月著 ,布文,賀賢,1078,126.0,7,1-1/2,1 0 7 3,1:10.05,4.6,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G109,05/02/2023,5,G109
4,8,醒目勇駒 ,潘頓,蘇偉賢,1137,125.0,11,1-1/2,9 1 0 4,1:10.07,9.2,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2017_B456,05/02/2023,5,B456
5,14,喜盈於心 ,潘明輝,文家良,1054,115.0,14,1-3/4,2 2 5,1:10.10,106.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G118,05/02/2023,5,G118
6,9,揚揚大道 ,田泰安,羅富全,1192,124.0,3,2,8 9 6,1:10.14,4.4,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G050,05/02/2023,5,G050
7,2,時尚歡欣 ,周俊樂,容天鵬,1144,131.0,8,3-3/4,4 5 7,1:10.41,10.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H041,05/02/2023,5,H041
8,11,電訊飛彈 ,班德禮,方嘉柏,1268,118.0,1,4-1/2,7 8 8,1:10.51,37.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2019_D209,05/02/2023,5,D209
